"Nottingham, England Hourly Weather Data",,,,,,,,,,,,,,,,,,,
Station No,Date,Time,Temperature(C),Dew Point(C),Visibiliy(km),Rainfall(mm),Wind Speed(mph),Wind Gust(mph),Wind Direction (deg),Pressure (mb),Pressure Tendency,Pressure Tendency Amount (mb),Sunshine Duration (hrs),Solar Radation (kJ/m2),Weather, VPD (mb), VP (mb), SVP (mb),RH (%) 
3354,23/06/2020,00:00:00,15,10.3,35,0,6.9,,220,1022,Increasing,0.5,,,Clear skies,4.52,12.54,17.06,73
3354,23/06/2020,01:00:00,14,10.3,30,0,4.6,,200,1022,Steady,0,0,0,Clear skies,3.45,12.54,15.99,78
3354,23/06/2020,02:00:00,13.4,10.3,30,0,3.5,,190,1022,Steady,0,0,0,Clear spells,2.84,12.54,15.38,82
3354,23/06/2020,03:00:00,13.2,10.4,28,0,4.6,,200,1022,Decreasing,0.1,0,0,Clear spells,2.56,12.62,15.18,83
3354,23/06/2020,04:00:00,12.6,10.3,27,0,4.6,,200,1022.4,Increasing,0.4,0,0,Clear skies,2.06,12.54,14.59,86
3354,23/06/2020,05:00:00,13,10.5,28,0,4.6,,180,1022.7,Increasing,0.7,0.4,148,Clear skies,2.28,12.7,14.98,85
3354,23/06/2020,06:00:00,14,10.6,30,0,5.8,,200,1022.9,Increasing,1,1,462,Clear skies,3.2,12.79,15.99,80
3354,23/06/2020,07:00:00,15.5,11.1,30,0,8.1,,220,1023.1,Increasing,0.8,1,1074,Clear skies,4.39,13.22,17.62,75
3354,23/06/2020,08:00:00,17.6,12.4,40,0,8.1,,210,1023.5,Increasing,1,1,1560,Clear spells,5.72,14.41,20.13,72
3354,23/06/2020,09:00:00,19.1,13.6,65,0,10.4,,210,1023.5,Increasing,0.8,1,1985,Clear spells,6.53,15.58,22.12,70
3354,23/06/2020,10:00:00,19.7,13.1,50,0,10.4,,250,1023.5,Increasing,0.6,1,2556,Clear spells,7.88,15.08,22.96,66
3354,23/06/2020,11:00:00,20.9,11,55,0,10.4,,220,1023.3,Steady,0,1,2982,Clear skies,11.59,13.14,24.72,53
3354,23/06/2020,12:00:00,21.9,10.3,45,0,10.4,,220,1023.1,Decreasing,0.2,1,2932,Clear skies,13.75,12.54,26.29,48
3354,23/06/2020,13:00:00,23.6,10.4,55,0,9.2,,220,1022.7,Decreasing,0.7,1,3046,Clear skies,16.52,12.62,29.14,43
3354,23/06/2020,14:00:00,24.5,11.7,40,0,6.9,,190,1022.5,Decreasing,0.7,1,2960,Clear skies,17,13.76,30.75,45
3354,23/06/2020,15:00:00,24.7,12.7,40,0,8.1,,180,1022,Decreasing,1,1,2693,Clear skies,16.43,14.69,31.12,47
3354,23/06/2020,16:00:00,25.4,13.5,40,0,8.1,,180,1021.5,Decreasing,1.1,1,2318,Clear skies,16.97,15.48,32.45,48
3354,23/06/2020,17:00:00,25.4,13.7,40,0,9.2,,170,1021.1,Decreasing,1.3,1,1746,Clear skies,16.77,15.68,32.45,48
3354,23/06/2020,18:00:00,25.2,14.1,40,0,10.4,,170,1021.1,Decreasing,0.9,1,1159,Clear skies,15.97,16.09,32.07,50
3354,23/06/2020,19:00:00,24.8,14.8,40,0,5.8,,180,1021,Decreasing,0.6,1,684,Clear skies,14.47,16.84,31.31,54
3354,23/06/2020,20:00:00,23.6,14.9,40,0,5.8,,180,1021,Decreasing,0.2,0.5,293,Clear skies,12.19,16.95,29.14,58
3354,23/06/2020,21:00:00,21.9,14.6,35,0,4.6,,160,1021.4,Increasing,0.2,0,26,Clear skies,9.66,16.63,26.29,63
3354,23/06/2020,22:00:00,20.3,15,11,0,3.5,,160,1021.5,Increasing,0.3,0,0,Clear skies,6.77,17.06,23.83,72
3354,23/06/2020,23:00:00,20.1,15.2,30,0,4.6,,150,1021.5,Increasing,0.4,0,0,Clear skies,6.25,17.28,23.53,73
3354,24/06/2020,00:00:00,19,14.3,30,0,3.5,,160,1021.8,Increasing,0.3,,,Clear skies,5.67,16.31,21.98,74
3354,24/06/2020,01:00:00,17.7,13.7,30,0,3.5,,150,1021.8,Increasing,0.2,0,0,Clear skies,4.58,15.68,20.26,77
3354,24/06/2020,02:00:00,16.4,13.8,26,0,3.5,,150,1021.8,Increasing,0,0,0,Clear skies,2.87,15.79,18.66,85
3354,24/06/2020,03:00:00,15.8,13.6,25,0,2.3,,100,1021.8,Decreasing,0.2,0,0,Clear skies,2.38,15.58,17.96,87
3354,24/06/2020,04:00:00,15.2,13.5,24,0,3.5,,150,1021.8,Decreasing,0.1,0,0,Clear skies,1.8,15.48,17.28,90
3354,24/06/2020,05:00:00,16.2,14.2,24,0,2.3,,170,1021.8,Steady,0,0.2,129,Clear skies,2.22,16.2,18.42,88
3354,24/06/2020,06:00:00,17.7,13.3,26,0,4.6,,150,1021.7,Steady,0,1,465,Clear skies,4.98,15.28,20.26,75
3354,24/06/2020,07:00:00,20.4,14.2,29,0,3.5,,110,1021.6,Steady,0,1,951,Clear skies,7.77,16.2,23.97,68
3354,24/06/2020,08:00:00,22.1,14.6,24,0,4.6,,130,1021.5,Steady,0,1,1406,Clear skies,9.98,16.63,26.61,62
3354,24/06/2020,09:00:00,23.5,15.1,27,0,5.8,,110,1021.3,Decreasing,0.1,1,1825,Clear skies,11.79,17.17,28.96,59
3354,24/06/2020,10:00:00,25.3,14.4,14,0,5.8,,160,1021,Decreasing,0.4,1,2365,Clear skies,15.85,16.41,32.26,51
3354,24/06/2020,11:00:00,26.5,14.4,35,0,6.9,,180,1020.9,Decreasing,0.4,1,2770,Clear skies,18.22,16.41,34.63,47
3354,24/06/2020,12:00:00,27.2,13.7,35,0,6.9,,140,1020.6,Decreasing,0.5,1,2835,Clear skies,20.4,15.68,36.08,43
3354,24/06/2020,13:00:00,27.7,13.7,40,0,8.1,,140,1020.3,Decreasing,0.6,1,2955,Clear skies,21.48,15.68,37.15,42
3354,24/06/2020,14:00:00,28.6,15.3,40,0,9.2,,140,1020,Decreasing,0.8,1,2984,Clear skies,21.77,17.38,39.15,44
3354,24/06/2020,15:00:00,28.5,14.1,45,0,6.9,,110,1019.9,Decreasing,0.7,1,2741,Clear skies,22.83,16.09,38.92,41
3354,24/06/2020,16:00:00,29.1,14.9,40,0,8.1,,150,1019.3,Decreasing,0.9,1,2268,Clear skies,23.36,16.94,40.3,42
3354,24/06/2020,17:00:00,28.5,15.7,40,0,9.2,,100,1019.1,Decreasing,0.9,1,1713,Clear skies,21.09,17.84,38.92,46
3354,24/06/2020,18:00:00,28.1,16.2,40,0,9.2,,110,1019,Decreasing,0.9,1,1164,Clear skies,19.61,18.42,38.03,48
3354,24/06/2020,19:00:00,27,14,50,0,8.1,,100,1019,Decreasing,0.4,1,702,Clear skies,19.67,15.99,35.66,45
3354,24/06/2020,20:00:00,24.1,15.7,35,0,8.1,,70,1019.4,Increasing,0.1,0.7,286,Clear skies,12.19,17.84,30.03,59
3354,24/06/2020,21:00:00,21.2,15.1,30,0,6.9,,70,1020.1,Increasing,0.8,0,27,Clear skies,8.01,17.17,25.18,68
3354,24/06/2020,22:00:00,19.5,15,24,0,8.1,,60,1020.3,Increasing,0.9,0,0,Clear skies,5.62,17.06,22.68,75
3354,24/06/2020,23:00:00,18.4,14.8,20,0,5.8,,60,1020.4,Increasing,0.7,0,0,Clear skies,4.33,16.84,21.17,80
3354,25/06/2020,00:00:00,17.6,14.1,19,0.8,5.8,,60,1020.4,Increasing,0.2,,,Clear skies,4.04,16.1,20.13,80
3354,25/06/2020,01:00:00,16.2,13.6,17,0,5.8,,50,1020.1,Decreasing,0.3,0,0,Clear skies,2.84,15.58,18.42,85
3354,25/06/2020,02:00:00,16.1,13.4,18,0,6.9,,50,1019.9,Decreasing,0.7,0,0,Clear skies,2.92,15.38,18.3,84
3354,25/06/2020,03:00:00,15.7,13.2,18,0,6.9,,50,1019.4,Decreasing,1.1,0,0,Clear skies,2.66,15.18,17.84,85
3354,25/06/2020,04:00:00,15.3,12.9,18,0,6.9,,50,1019,Decreasing,1.1,0,0,Clear skies,2.5,14.89,17.39,86
3354,25/06/2020,05:00:00,16.3,13.5,20,0,4.6,,40,1018.9,Decreasing,0.9,0.3,132,Clear skies,3.06,15.48,18.54,84
3354,25/06/2020,06:00:00,17.1,13.9,23,0,6.9,,50,1018.4,Decreasing,0.9,1,498,Clear skies,3.62,15.89,19.51,81
3354,25/06/2020,07:00:00,19.6,14.7,28,0,9.2,,60,1018.2,Decreasing,0.6,1,1021,Clear skies,6.08,16.73,22.82,73
3354,25/06/2020,08:00:00,21,15.3,29,0,6.9,,60,1018.3,Decreasing,0.4,1,1531,Clear skies,7.49,17.39,24.88,70
3354,25/06/2020,09:00:00,22.4,15.8,30,0,9.2,,60,1018.1,Decreasing,0.1,1,2044,Clear skies,9.14,17.96,27.1,66
3354,25/06/2020,10:00:00,24.8,15.7,35,0,8.1,,60,1017.6,Decreasing,0.3,1,2618,Clear skies,13.47,17.84,31.31,57
3354,25/06/2020,11:00:00,26.6,15.5,45,0,10.4,,90,1017.2,Decreasing,0.9,1,3018,Clear skies,17.22,17.61,34.83,51
3354,25/06/2020,12:00:00,27.2,14.4,55,0,11.5,,70,1016.5,Decreasing,1.4,1,3071,Clear skies,19.68,16.41,36.08,45
3354,25/06/2020,13:00:00,27.8,11.7,70,0,11.5,,90,1015.7,Decreasing,1.7,1,3148,Clear skies,23.62,13.75,37.37,37
3354,25/06/2020,14:00:00,28,10.9,65,0,9.2,,90,1015.3,Decreasing,1.9,1,3105,Clear skies,24.77,13.04,37.81,34
3354,25/06/2020,15:00:00,28.8,13.3,55,0,8.1,,100,1014.6,Decreasing,1.8,1,2847,Clear skies,24.33,15.27,39.61,39
3354,25/06/2020,16:00:00,28.7,13.5,65,0,5.8,,110,1013.9,Decreasing,1.7,1,2391,Clear skies,23.9,15.47,39.38,39
3354,25/06/2020,17:00:00,28.2,13.5,50,0,8.1,,90,1013.4,Decreasing,1.8,1,1827,Clear skies,22.78,15.48,38.25,40
3354,25/06/2020,18:00:00,28,14.5,60,0,5.8,,100,1013,Decreasing,1.6,1,1242,Clear skies,21.3,16.51,37.81,44
3354,25/06/2020,19:00:00,26.8,14.4,60,0,9.2,,100,1012.8,Decreasing,1.1,1,760,Clear skies,18.84,16.41,35.25,47
3354,25/06/2020,20:00:00,24.4,15.8,40,0,9.2,,70,1013,Decreasing,0.6,0.9,307,Clear skies,12.62,17.96,30.57,59
3354,25/06/2020,21:00:00,21.6,15.7,35,0,5.8,,70,1013.1,Decreasing,0.2,0,25,Clear skies,7.97,17.84,25.81,69
3354,25/06/2020,22:00:00,21.8,12.7,55,0,8.1,,110,1012.9,Decreasing,0.1,0,0,Clear skies,11.43,14.69,26.13,56
3354,25/06/2020,23:00:00,20.5,12.1,55,0,6.9,,110,1012.7,Decreasing,0.5,0,0,Clear skies,10,14.13,24.12,59
3354,26/06/2020,00:00:00,18.6,12.4,50,0,4.6,,90,1012.5,Decreasing,0.8,,,Clear skies,7.03,14.41,21.44,67
3354,26/06/2020,01:00:00,17.7,12.8,40,0,5.8,,70,1012,Decreasing,1.1,0,0,Clear skies,5.47,14.79,20.26,73
3354,26/06/2020,02:00:00,16.8,12.8,35,0,5.8,,60,1011.3,Decreasing,1.6,0,0,Clear skies,4.35,14.79,19.14,77
3354,26/06/2020,03:00:00,16.2,12.8,30,0,4.6,,50,1010.4,Decreasing,2.2,0,0,Clear skies,3.63,14.79,18.42,80
3354,26/06/2020,04:00:00,15.7,13,29,0,4.6,,50,1010,Decreasing,2.1,0,4,Clear spells,2.86,14.98,17.84,84
3354,26/06/2020,05:00:00,17.6,14.2,25,0,4.6,,50,1009.7,Decreasing,1.5,0.1,217,Cloudy,3.93,16.2,20.13,80
3354,26/06/2020,06:00:00,17.4,14.3,22,0,4.6,,70,1009.3,Decreasing,1,0.3,269,Cloudy,3.57,16.31,19.88,82
3354,26/06/2020,07:00:00,17.8,14.9,17,0,5.8,,80,1009,Decreasing,0.9,0,304,Cloudy,3.44,16.95,20.39,83
3354,26/06/2020,08:00:00,18.7,15.5,17,0,3.5,,80,1008.6,Decreasing,1,0,553,Cloudy,3.96,17.62,21.57,82
3354,26/06/2020,09:00:00,19.9,15.5,20,0,3.5,,100,1008.3,Decreasing,0.8,0,555,Cloudy,5.63,17.62,23.24,76
3354,26/06/2020,10:00:00,22.2,15.7,26,0,4.6,,210,1008.1,Decreasing,0.7,0.1,1402,Cloudy,8.93,17.84,26.77,67
3354,26/06/2020,11:00:00,24.2,16.2,26,0,3.5,,220,1007.6,Decreasing,0.7,0.7,2473,Clear spells,11.79,18.42,30.21,61
3354,26/06/2020,12:00:00,25.7,16.9,28,0,3.5,,280,1007,Decreasing,1,0.9,2821,Clear skies,13.78,19.26,33.03,58
3354,26/06/2020,13:00:00,27.3,16.4,29,0,4.6,,160,1006.4,Decreasing,1.4,1,3007,Clear skies,17.64,18.65,36.3,51
3354,26/06/2020,14:00:00,27.9,15.9,45,0,5.8,,190,1005.7,Decreasing,1.7,0.6,2189,Clear spells,19.52,18.07,37.59,48
3354,26/06/2020,15:00:00,28.9,16.2,45,0,8.1,,210,1005.5,Decreasing,1.4,0.4,1768,Clear spells,20.28,18.41,38.7,48
3354,26/06/2020,16:00:00,27.7,16.4,45,0,11.5,,210,1005.1,Decreasing,1.3,0.8,2272,Clear spells,18.5,18.65,37.15,50
3354,26/06/2020,17:00:00,27.2,16.3,50,0,8.1,,210,1004.6,Decreasing,1.2,0.9,1851,Clear spells,17.55,18.53,36.08,51
3354,26/06/2020,18:00:00,25.5,16,40,0,11.5,,220,1004.8,Decreasing,0.8,0.6,954,Clear spells,14.46,18.19,32.64,56
3354,26/06/2020,19:00:00,24.1,15.3,35,0,12.7,,220,1005.1,Decreasing,0.1,0.5,572,Clear spells,12.64,17.39,30.03,58
3354,26/06/2020,20:00:00,23.2,10.9,55,0,10.4,,230,1005.3,Increasing,0.5,0.4,259,Cloudy,15.4,13.05,28.44,46
3354,26/06/2020,21:00:00,21.3,10.9,55,0,6.9,,250,1005.5,Increasing,0.5,0,28,Clear spells,12.29,13.05,25.34,51
3354,26/06/2020,22:00:00,19.5,11.7,45,0,5.8,,230,1005.6,Increasing,0.3,0,0,Clear spells,8.92,13.76,22.68,61
3354,26/06/2020,23:00:00,18.3,12.4,45,0,2.3,,190,1005.4,Decreasing,0.1,0,0,Clear spells,6.63,14.41,21.04,68
3354,27/06/2020,00:00:00,18.1,14.3,22,0,5.8,,210,1005.4,Decreasing,0.2,,,Cloudy,4.47,16.31,20.78,78
3354,27/06/2020,01:00:00,17.7,14.4,23,0,5.8,,210,1004.6,Decreasing,1,0,0,Clear spells,3.85,16.41,20.26,81
3354,27/06/2020,02:00:00,17,13.7,30,0,8.1,,190,1004.6,Decreasing,0.8,0,0,Clear spells,3.7,15.68,19.38,81
3354,27/06/2020,03:00:00,15.8,11.4,5,0,6.9,,200,1004.5,Decreasing,1,0,0,Cloudy,4.47,13.49,17.96,75
3354,27/06/2020,04:00:00,14.8,10.5,8,0,6.9,,180,1003.7,Decreasing,1,0,0,Mist,4.13,12.71,16.84,75
3354,27/06/2020,05:00:00,14.5,12.3,1.3,0.6,6.9,,180,1003.5,Decreasing,1.2,0,33,Rain  not freezing  heavy,2.21,14.31,16.52,87
3354,27/06/2020,06:00:00,14.3,13.5,10,1.4,5.8,,130,1003.1,Decreasing,1.4,0,131,Clear intervals,0.82,15.48,16.3,95
3354,27/06/2020,07:00:00,14.7,13.8,4.8,0.2,8.1,,160,1002.6,Decreasing,1.1,0,139,Rain  not freezing  slight,0.95,15.79,16.73,94
3354,27/06/2020,08:00:00,15.1,13.9,5,0,9.2,,160,1002.3,Decreasing,1.1,0,295,Clear spells,1.28,15.89,17.17,93
3354,27/06/2020,09:00:00,15.3,13.8,3.5,0,11.5,,160,1001.8,Decreasing,1.3,0,418,Drizzle  not freezing  moderate,1.61,15.79,17.39,91
3354,27/06/2020,10:00:00,15.7,14.4,10,1,12.7,,170,1001.2,Decreasing,1.2,0,677,Rain shower(s) or intermittent rain  slight,1.43,16.41,17.84,92
3354,27/06/2020,11:00:00,16.9,14.3,14,0,13.8,,180,1000.6,Decreasing,1.5,0,1125,Overcast,2.95,16.31,19.26,85
3354,27/06/2020,12:00:00,15.5,13.8,0.6,2.2,9.2,,210,1000.1,Decreasing,1.6,0.1,1134,Rain  not freezing  heavy,1.83,15.79,17.62,90
3354,27/06/2020,13:00:00,18.5,15.9,17,1,10.4,,180,999.3,Decreasing,1.8,0.5,2243,Clear spells,3.23,18.07,21.3,85
3354,27/06/2020,14:00:00,19.7,13.7,60,0,15,,220,998.8,Decreasing,1.6,0.7,2457,Clear spells,7.27,15.68,22.96,68
3354,27/06/2020,15:00:00,19.9,12.6,70,0,15,31.1,210,998.7,Decreasing,1.2,0.5,1951,Cloudy,8.65,14.6,23.24,63
3354,27/06/2020,16:00:00,19.6,12.4,70,0,15,31.1,200,998.5,Decreasing,0.7,0.6,2157,Clear spells,8.41,14.41,22.82,63
3354,27/06/2020,17:00:00,16.1,12,70,0.2,18.4,34.5,230,999.3,Increasing,0.4,0.1,756,Rain  not freezing  slight,4.27,14.03,18.3,77
3354,27/06/2020,18:00:00,17.7,10.6,70,0,18.4,32.2,230,999,Increasing,0,0.3,833,Clear spells,7.47,12.79,20.26,63
3354,27/06/2020,19:00:00,15.7,10.6,50,0,13.8,33.4,240,1000.1,Increasing,1.3,0.2,398,Rain shower(s) or intermittent rain  slight,5.05,12.79,17.84,72
3354,27/06/2020,20:00:00,14.7,10.1,70,0,15,31.1,250,1000.7,Increasing,1.3,0,105,Cloudy,4.36,12.37,16.73,74
3354,27/06/2020,21:00:00,12.7,9.3,70,0.4,11.5,28.8,240,1001.9,Increasing,2.5,0,9,Clear spells,2.97,11.72,14.69,80
3354,27/06/2020,22:00:00,12.7,9.8,40,0,8.1,,230,1001.9,Increasing,1.6,0,0,Clear spells,2.57,12.12,14.69,83
3354,27/06/2020,23:00:00,12.9,9.3,9,0,15,,220,1002.3,Increasing,1.5,0,0,Rain  not freezing  slight,3.16,11.72,14.88,79
3354,28/06/2020,00:00:00,12,9.7,45,0,10.4,,210,1002.5,Increasing,0.6,,,Clear spells,1.99,12.04,14.03,86
3354,28/06/2020,01:00:00,11.6,9.2,50,0,11.5,,220,1002.5,Increasing,0.5,0,0,Clear spells,2.02,11.64,13.66,85
3354,28/06/2020,02:00:00,11.1,9,50,0,9.2,,220,1002.7,Increasing,0.3,0,0,Clear spells,1.73,11.49,13.22,87
3354,28/06/2020,03:00:00,10.8,8.8,50,0,9.2,,210,1003,Increasing,0.4,0,0,Cloudy,1.63,11.33,12.96,87
3354,28/06/2020,04:00:00,10.8,8.8,45,0,11.5,,220,1003.3,Increasing,0.7,0,0,Clear spells,1.63,11.33,12.96,87
3354,28/06/2020,05:00:00,11.1,8.6,45,0,12.7,,220,1003.3,Increasing,0.6,0.2,123,Clear spells,2.04,11.18,13.22,85
3354,28/06/2020,06:00:00,12.1,8.7,45,0,15,29.9,230,1003.5,Increasing,0.6,0.9,419,Clear spells,2.87,11.26,14.12,80
3354,28/06/2020,07:00:00,13.4,8.5,50,0,15,31.1,230,1003.9,Increasing,0.8,0.9,931,Clear intervals,4.27,11.11,15.38,72
3354,28/06/2020,08:00:00,14.2,8.1,55,0,16.1,31.1,240,1004.6,Increasing,1.4,0.6,1142,Clear intervals,5.39,10.81,16.2,67
3354,28/06/2020,09:00:00,14.4,7.3,50,0,16.1,35.7,240,1005.2,Increasing,1.8,0.1,835,Cloudy,6.17,10.24,16.41,62
3354,28/06/2020,10:00:00,16.1,7.8,35,0,18.4,32.2,240,1005.5,Increasing,1.6,,,Cloudy,7.71,10.59,18.3,58
3354,28/06/2020,11:00:00,15.9,7.2,60,0,15,35.7,240,1005.5,Increasing,1.1,,,Cloudy,7.9,10.17,18.07,56
3354,28/06/2020,12:00:00,16.4,7.3,55,0,16.1,33.4,240,1005.5,Increasing,0.4,,,Cloudy,8.42,10.24,18.66,55
3354,28/06/2020,13:00:00,17.4,6.9,60,0,19.6,38,230,1005.3,Decreasing,0.1,,,Clear spells,9.92,9.96,19.88,50
3354,28/06/2020,14:00:00,13.7,9.9,70,0.4,13.8,39.1,240,1006,Increasing,0.4,,,Cloudy,3.48,12.21,15.68,78
3354,28/06/2020,15:00:00,15.4,10.2,60,0.2,15,28.8,230,1005.8,Increasing,0,,,Cloudy,5.05,12.45,17.5,71
3354,28/06/2020,16:00:00,15.1,9.7,65,0,15,32.2,230,1005.9,Steady,0,,,Cloudy,5.12,12.04,17.17,70
3354,28/06/2020,17:00:00,16,9.3,55,0,15,,230,1005.5,Decreasing,0.3,,,Cloudy,6.46,11.72,18.19,64
3354,28/06/2020,18:00:00,15.8,7.8,50,0,13.8,31.1,240,1005.7,Decreasing,0.1,,,Cloudy,7.36,10.59,17.96,59
3354,28/06/2020,19:00:00,15.1,7.9,50,0,15,29.9,230,1005.8,Decreasing,0,,,Cloudy,6.5,10.66,17.17,62
3354,28/06/2020,20:00:00,14.6,7.6,50,0,16.1,28.8,230,1005.7,Increasing,0.1,,,Clear spells,6.18,10.45,16.62,63
3354,28/06/2020,21:00:00,13.7,7.5,40,0,12.7,,230,1005.9,Increasing,0.1,,,Clear spells,5.3,10.38,15.68,66
3354,28/06/2020,22:00:00,13.4,7.9,35,0,12.7,,230,1005.6,Decreasing,0.3,,,Cloudy,4.71,10.66,15.38,69
3354,28/06/2020,23:00:00,12.8,7.8,35,0,16.1,,230,1005.5,Decreasing,0.3,,,Clear spells,4.2,10.59,14.79,72
